g / n,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20
1,0,0,0,0,0,0,0,0,0,0,0,k=11: 1,k=12: 55,k=13: 1925,?,?,?,?,?,?,?
2,0,0,0,0,0,0,0,0,0,0,k=13: 9,k=14: 396,k=15: 11605,?,?,?,?,?,?,?,?
3,0,0,0,0,0,0,0,0,k=14: 1,"k=14: 1
k=15: 56","k=15: 36
k=16: 1526",?,?,?,?,?,?,?,?,?,?
4,0,0,0,0,0,0,0,k=16: 6,"k=16: 7
k=17: 155","k=17: 189
k=18: 2878",?,?,?,?,?,?,?,?,?,?,?
5,0,0,0,0,0,k=17: 1,"k=17: 1
k=18: 20","k=18: 30
k=19: 240",?,?,?,?,?,?,?,?,?,?,?,?,?
6,0,0,0,0,k=19: 3,"k=19: 4
k=20: 19","k=20: 46
k=21: 154",?,?,?,?,?,?,?,?,?,?,?,?,?,?
7,0,0,k=20: 1,"k=20: 1
k=21: 2","k=21: 6
k=22: 4","k=22: 28
k=23: 75",?,?,?,?,?,?,?,?,?,?,?,?,?,?,?
8,0,0,k=22: 1,k=24: 4,"k=23: 1
k=24: 16
k=25: 36",?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?
9,k=22: 1,k=22: 1,k=26: 4,k=26: 27,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?
10,k=27: 2,k=27: 6,"k=27: 8
k=29: 3",?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?
11,k=28: 2,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?
12,"k=31: 1
k=32: 1",?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?
13,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?
14,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?
15,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?
16,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?
17,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?
18,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?
19,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?
20,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?
